date,ticker,mean_sentiment,sentiment_std,news_volume,Close,volatility,mean_sentiment_lag_1,sentiment_std_lag_1,news_volume_lag_1,mean_sentiment_lag_2,sentiment_std_lag_2,news_volume_lag_2,mean_sentiment_lag_3,sentiment_std_lag_3,news_volume_lag_3
2022-01-18,AAPL,0.0,0.0,1,166.47239685058594,0.012991524395321589,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
2022-01-18,GOOGL,0.0,0.0,1,135.18724060058594,0.01542832507946465,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
2022-01-18,MSFT,0.0,0.0,1,293.3870849609375,0.020966136053551326,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
2022-01-19,AAPL,0.0,0.0,1,162.97235107421875,0.014758182631777752,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
2022-01-19,GOOGL,0.0,0.0,1,134.3109893798828,0.015480271533314367,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
2022-01-19,MSFT,0.0,0.0,1,294.04620361328125,0.02105228942015768,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
2022-01-20,AAPL,0.0,0.0,1,161.2860870361328,0.014694067244963952,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
2022-01-20,GOOGL,0.0,0.0,1,132.5127716064453,0.01462254980858731,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
2022-01-20,MSFT,0.0,0.0,1,292.36920166015625,0.020912950741383322,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
2022-01-21,AAPL,0.0,0.0,1,159.22727966308594,0.010595129170853125,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
2022-01-21,GOOGL,0.0,0.0,1,129.5744171142578,0.014479873199953351,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
2022-01-21,MSFT,0.0,0.0,1,286.9696350097656,0.021069782977891305,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
2022-01-24,AAPL,0.0,0.0,1,158.4526824951172,0.009351483523606841,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
2022-01-24,GOOGL,0.0,0.0,1,130.0242156982422,0.012535264863902107,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
2022-01-24,MSFT,0.0,0.0,1,287.29925537109375,0.01992902040790231,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
2022-01-25,AAPL,0.0,0.0,1,156.64874267578125,0.00878031500613955,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
2022-01-25,GOOGL,0.0,0.0,1,126.17826843261719,0.014093153327577466,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
